5 60 28.6 12.4 11.28 0
7 95 11.4 9.8 3.2 1
2 96 16 7.1 5.7 1
4 90 33.8 23.9 17.1 1
8 68 35.4 6.8 4.5 0
4 81 11.8 7.2 2.8 1
8 60 22 46.4 35.1 0
8 65 18.7 39.5 17.1 0
8 64 35 18.5 9.9 0
9 75 24.3 15.2 9.8 0
9 66 21.5 10.7 8.9 0
9 66 22.4 15.7 9.8 0
8 75 14 10.2 8.7 0
4 90 13.8 12.1 5.1 1
7 76 26.8 15.5 11.8 0
6 66 19.8 12 9.9 0
7 54 21.7 14.9 12.7 0
4 71 17.1 28.4 22.2 1
5 53 17.3 9.7 8.1 0
5 88 17.1 7.5 6.1 1
4 77 19 17.5 14.5 1
5 54 23 21.5 17.7 0
5 50 28.2 21.8 17.8 0
4 82 18.7 14.9 11.5 1
7 81 15.7 15.8 13 1
4 73 21 18.7 15.9 1
7 55 54.44 9.6 7 0
8 71 30 13.9 10.7 0
5 87 20.1 20.9 17.4 1
6 72 21 13.8 10.5 0
8 73 31.1 14 7.8 0
7 57 24 11 7.9 0
9 62 25 11.3 2.1 0
8 79 18 13.2 8.8 1
7 88 12.1 7.8 2.2 1
7 45 21.3 23.1 18 0
4 45 22.4 10.6 8.5 0
7 63 27.9 12.5 7.8 0
6 58 21.2 8.6 5.5 0
8 58 8.2 11.7 6.2 0
9 65 51.7 31.2 27.5 0
8 53 31 15 7.8 0
6 63 18 13.2 8.8 0
8 49 18.1 14.8 7.9 0
8 42 19.7 12 9.9 0
8 67 28 18.6 14.2 0
4 73 17.3 7.8 2.1 1
3 86 19 7.8 6.4 1
7 99 14.4 16.5 12.9 1
6 81 21.3 19.2 16.2 1
5 80 21.2 8.6 2.5 1
5 72 21.3 9 7.4 0
5 70 25.2 9.9 8.3 0
4 78 70.7 13 9.2 1
4 78 18.4 5.9 4.7 1
5 89 30 13.9 10.7 1
6 67 24.8 10.2 8 0
8 82 23.7 14.3 10.6 1
8 80 26 11.97 8.55 1
9 62 21 18.5 14.2 0
